"Id","Lg","Lt","NId","D"
"191879","-5.99457677","37.40525203","7","0"
"171911","-5.97944323","37.35495528","14","0"
"263973","-5.92442729","37.39270566","2","0"
"191547","-6.0009702","37.37829136","11","0"
"174567","-5.96988037","37.38032369","32","0"
"172646","-5.96731416","37.39230622","46172","0"
"174235","-5.95335252","37.37326265","5","X"
"171982","-5.94942391","37.37463205","2","0"
"183389","-5.95538743","37.38738389","30133","0"
"192211","-5.98121017","37.41193659","3","0"
"172907","-5.91438695","37.40750773","7","0"
"172575","-5.95082697","37.39930723","46094","0"
"172978","-5.94275748","37.40017632","22","0"
"245997","-5.94398573","37.4036861","46409","0"
"191856","-5.99479388","37.40399002","1","0"
"192188","-5.99053743","37.41067935","29","0"
"171888","-5.98133685","37.35815541","13","T"
"274100","-5.98776631","37.38099927","17","0"
"172552","-5.97302565","37.38861834","46164","0"
"245642","-5.97626169","37.38365338","46","0"
"174544","-5.97893086","37.384018","6","0"
"245974","-5.95250787","37.37510071","46464","0"
"172005","-5.94798036","37.3732245","50","0"
"183366","-5.95209972","37.38721153","30084","0"
"247419","-5.96034291","37.40301657","46480","0"
"172337","-5.95935017","37.40444549","3","0"
"262954","-5.92391621","37.399394","5","0"
"248630","-5.97354975","37.43337567","46540","0"
"172884","-5.94283756","37.39715738","9","0"
"173001","-5.94086757","37.39896946","44","X"
"174212","-5.98398496","37.36263303","158","0"
"172220","-5.98651194","37.36683401","125","0"
"172669","-5.91859105","37.38696929","2","R"
"191925","-6.00466988","37.40591668","27","0"
"202244","-5.9765384","37.35429588","6","0"
"174613","-5.96895676","37.36181891","47","0"
"245450","-6.00489909","37.3874668","46440","0"
"191593","-6.00794755","37.38302334","3","0"
"174281","-5.96332042","37.37230193","17","T"
"245782","-5.96882758","37.39436465","46190","0"
"183272","-5.94450186","37.38675839","30023","0"
"244122","-5.97382952","37.3957074","6","0"
"248607","-5.97026373","37.43186943","46517","0"
"245619","-5.93521395","37.41179404","23","0"
"290153","-5.92241019","37.40081756","5","0"
"192234","-6.00164788","37.41185495","46650","X"
"191902","-6.00478926","37.40573001","10","0"
"191570","-5.99799256","37.38033869","4","0"
"174590","-5.96939025","37.37874806","53","0"
"233903","-5.99723647","37.36793501","25","0"
"245596","-5.97467898","37.37530389","27","0"
"183197","-5.97060324","37.42014866","43564","0"
"247465","-5.93684376","37.40636686","17","0"
"295208","-5.91366871","37.40633584","13","0"
"174258","-5.95559922","37.36567998","159","0"
"171959","-5.95299156","37.36880549","26","0"
"172930","-5.94345026","37.39716386","32","0"
"310499","-6.01514305","37.39236371","21","0"
"192042","-6.00897106","37.40643852","127","X"
"245828","-5.97629587","37.38479147","1","0"
"245573","-5.97768422","37.38390084","42","0"
"239994","-6.01163339","37.3729089","24","0"
"191378","-5.97504728","37.37740032","24","T"
"183220","-5.96810567","37.3929941","45826","0"
"268055","-5.91662732","37.40491456","23","0"
"268049","-5.91702723","37.40525061","17","0"
"172151","-5.98705455","37.36827014","94","0"
"172738","-5.91439124","37.39133274","22","0"
"247494","-5.95314155","37.400542","46500","0"
"172815","-5.92962272","37.40060274","1","0"
"192048","-6.00934171","37.4064448","133","X"
"174730","-5.9855946","37.34964244","26","0"
"174736","-5.98080748","37.35720284","20","T"
"189386","-5.97607054","37.35641543","46677","T"
"310476","-6.01388121","37.39606518","2","0"
"192071","-5.99332075","37.40694113","14","0"
"191948","-6.00734092","37.40608478","46","0"
"192065","-6.00880961","37.40652143","147","0"
"191407","-6.01040184","37.36862918","3","0"
"183243","-5.94496117","37.38677974","30026","0"
"191401","-6.00364306","37.36859735","8","0"
"250714","-5.91969529","37.40608207","13","0"
"250720","-5.91991628","37.40639153","19","T"
"292174","-5.92104042","37.39542824","46717","0"
"183458","-5.98313967","37.4214091","2968","0"
"172792","-5.91435332","37.39186741","29","0"
"172761","-5.91650215","37.39075906","32","T"
"202221","-5.97741561","37.3538519","46575","0"
"200229","-5.97520352","37.35449835","46389","0"
"172128","-5.98263281","37.36089925","85","0"
"174636","-5.98106684","37.35825746","180","T"
"172097","-5.98507442","37.36499471","54","0"
"192094","-6.00897949","37.40666244","175","0"
"172197","-5.98655482","37.36615639","115","X"
"172692","-5.89940011","37.38317348","2","T"
"191501","-6.00591444","37.37573812","15","0"
"191430","-5.99900299","37.37295698","4","T"
"247448","-5.99761188","37.36766644","37","0"
"172028","-5.94541035","37.37536702","23","0"
"245527","-5.96815339","37.39556171","46173","0"
"266011","-5.96813443","37.43099821","2","0"
"245945","-5.92386109","37.40535676","24","0"
"310522","-6.01413127","37.39262227","46803","0"
"192117","-6.00915303","37.40686959","190","X"
"174707","-5.96092547","37.35871183","126","0"
"172174","-5.98587812","37.36633014","105","0"
"191576","-5.99072098","37.38165871","4","0"
"303243","-6.01360428","37.3890106","25","0"
"172051","-5.96903495","37.33503671","4","0"
"242061","-5.97199891","37.38841666","46431","0"
"245922","-5.99972876","37.37144249","8","T"
"192240","-5.97907736","37.41437327","1","0"
"183412","-5.98267017","37.41547326","3925","0"
"233897","-6.00126695","37.36824955","20","0"
"183289","-5.95048583","37.38709655","30072","0"
"250668","-5.96294674","37.40481658","46551","0"
"247471","-5.93542237","37.40746977","31","0"
"295202","-5.91383785","37.40657911","7","0"
"172715","-5.91692304","37.39075718","13","0"
"172838","-5.92948631","37.40309925","8","0"
"192217","-6.00149251","37.41149956","46644","0"
"192134","-6.00927997","37.40717604","202","0"
